13:23:09.945 Fail to connect, reconnecting
13:23:12.045 Fail to connect, reconnecting
13:23:14.097 Fail to connect, reconnecting
13:23:16.169 Fail to connect, reconnecting
13:23:18.232 Fail to connect, reconnecting
13:23:20.303 Fail to connect, reconnecting
13:23:22.348 Fail to connect, reconnecting
14:54:31.424 Fail to connect, reconnecting
14:54:33.507 Fail to connect, reconnecting
14:54:35.572 Fail to connect, reconnecting
14:54:37.646 Fail to connect, reconnecting
14:54:39.711 Fail to connect, reconnecting
14:54:41.867 Fail to connect, reconnecting
14:54:43.922 Fail to connect, reconnecting
14:54:45.980 Fail to connect, reconnecting
14:54:48.054 Fail to connect, reconnecting
14:54:50.100 Fail to connect, reconnecting
14:54:52.167 Fail to connect, reconnecting
14:54:54.223 Fail to connect, reconnecting
14:54:56.287 Fail to connect, reconnecting
14:54:58.362 Fail to connect, reconnecting
14:55:00.417 Fail to connect, reconnecting
14:55:02.491 Fail to connect, reconnecting
14:55:04.551 Fail to connect, reconnecting
14:55:06.619 Fail to connect, reconnecting
14:55:08.674 Fail to connect, reconnecting
14:55:10.741 Fail to connect, reconnecting
14:55:12.809 Fail to connect, reconnecting
14:55:14.870 Fail to connect, reconnecting
14:55:16.935 Fail to connect, reconnecting
14:55:18.991 Fail to connect, reconnecting
14:55:21.068 Fail to connect, reconnecting
14:55:23.130 Fail to connect, reconnecting
14:55:25.215 Fail to connect, reconnecting
14:55:27.285 Fail to connect, reconnecting
14:55:29.324 Fail to connect, reconnecting
14:55:31.382 Fail to connect, reconnecting
14:55:33.438 Fail to connect, reconnecting
14:55:35.504 Fail to connect, reconnecting
14:55:37.572 Fail to connect, reconnecting
14:55:39.643 Fail to connect, reconnecting
14:55:41.700 Fail to connect, reconnecting
14:55:43.773 Fail to connect, reconnecting
14:55:45.815 Fail to connect, reconnecting
14:55:47.889 Fail to connect, reconnecting
14:55:49.966 Fail to connect, reconnecting
14:55:52.024 Fail to connect, reconnecting
14:56:59.754 Fail to connect, reconnecting
14:57:06.829 Fail to connect, reconnecting
15:29:06.748 Fail to connect, reconnecting
15:29:58.065 Fail to connect, reconnecting
